,company,name,models,gear,year,kms,owner,fuel,price
25,Hyundai,Elite i20,1.4 CRDI ASTA (O),Manual,2017,100703,1,D,710799
26,Hyundai,VENUE,1.0L Turbo GDI SX MT,Manual,2019,5678,1,P,1040899
27,Maruti,IGNIS,ALPHA 1.2 K12 AMT,Automatic,2018,10344,1,P,721899
28,Maruti,Celerio,VXI AMT,Automatic,2015,40525,2,P,424099
29,Ford,Ecosport,1.5 TITANIUM TI VCT,Manual,2018,22212,1,P,859299
30,Hyundai,NEW SANTRO,SPORTZ 1.1,Manual,2018,48619,1,P,496099
31,Honda,City,V MT PETROL,Manual,2012,97288,3,P,498499
32,Maruti,Celerio,VXI AMT,Automatic,2015,46178,3,P,410199
33,Hyundai,NEW SANTRO,1.1 MAGNA MT,Manual,2019,10782,1,P,531099
34,Maruti,S PRESSO,VXI PLUS,Manual,2019,18395,1,P,468099
35,Ford,Ecosport,1.5 TITANIUM TI VCT AT,Automatic,2018,35691,2,P,958999
36,Maruti,Swift,VXI,Manual,2012,56941,2,P,454699
37,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2018,6413,1,P,562999
38,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2018,11086,1,P,562999
39,Maruti,Swift,ZDI AMT,Automatic,2018,50630,1,D,766599
40,Renault,Kwid,CLIMBER 1.0,AT,2017,18379,1,P,481999
41,Maruti,Swift,VXI,Manual,2014,51290,1,P,524799
42,Renault,Kwid,CLIMBER 1.0 AT,Automatic,2017,26686,1,P,471199
43,Hyundai,Eon,D LITE PLUS,Manual,2015,22112,1,P,304099
44,Renault,Kwid,RXL1.0 EASY-R AT,Manual,2017,26371,1,P,422999
45,Renault,Kwid,RXL1.0 EASY-R AT,Manual,2017,15883,1,P,440799
46,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2018,30545,1,P,550299
47,Honda,Brio,1.2 V MT I VTEC,Manual,2013,29665,1,P,401099
48,Hyundai,Eon,MAGNA PLUS,Manual,2014,56213,2,P,323399
49,Honda,Brio,1.2 VX MT I VTEC,Manual,2013,50160,2,P,411999
50,Hyundai,Grand i10,SPORTS 1.2 VTVT,Manual,2015,59212,2,P,456299
51,Tata,Nano,TWIST XTA,Automatic,2015,20122,1,P,280499
